Source,Entry,PLOT,KC,PlotYield,TW,Moisture,YldCorKgH,Lodging,Ht,HD,WH,Other
574,NY03100-321,3236,,1677,75.5,12.6,4411,0,88,2-Jun,95,
220,99043,3237,,1709,74.6,13,4477,0,87,3-Jun,,
552,NY99028-251,3238,,1640,74.7,13,4296,0,87,2-Jun,,
464,Probe_exp.,3239,R,1677,76.3,13.3,4380,0,85,31-May,,
643,NY03087&88,3240,,1635,75.9,12.7,4296,0,77,30-May,,
728,NY07105-82,3241,R,1829,78.4,12.9,4796,1,97,1-Jun,,
455,P99751RA1-6-3-94,3242,R,1868,80,12.9,4898,0,77,31-May,,
550,NY99069-249,3243,,1951,76.4,13.1,5106,0,78,31-May,,
569,NY99069-310,3244,,1767,75,12.4,4657,0,86,31-May,95,
471,NC05-21090,3245,R,1697,77.7,13,4445,0,76,31-May,,
Jen,Jensen,3246,,1589,74.8,12.6,4179,0,83,2-Jun,95,
432,INW0411,3247,R,1519,77.1,12.5,3999,0,77,29-May,,
176,94046,3248,,1708,74.2,12.9,4479,0,93,1-Jun,90,
599,8080xCal-105-440,3249,,1527,77.2,13.1,3996,0,101,1-Jun,,
463,Blazer_exp.,3250,R,1554,76.6,13,4071,0,79,30-May,,
499,NY99049-126,3251,,1621,75.5,12.5,4268,0,83,2-Jun,90,
636,P05247A1-7-3,3252,R,2026,80.1,12.6,5329,0,76,30-May,,
592,NY01003-371,3253,,1700,73.4,12.7,4467,0,78,31-May,90,
688,Whatford/7388 - 10,3254,,1594,78.6,13,4176,0,102,29-May,,
563,NY01066-286,3255,,1457,75,12.3,3844,0,87,2-Jun,,
465,Rumor_exp.,3256,R,1441,74.5,12.6,3790,0,71,31-May,,
580,NY03082-336,3257,,1883,76.2,13.5,4908,0,86,3-Jun,,
543,NY03010-229,3258,,1539,74.3,13,4031,0,77,1-Jun,95,
473,7730R,3259,R,1804,78.7,12.9,4730,0,87,28-May,,
478,Ruby_red_(MSU_E1007R),3260,R,1704,76.3,13,4464,0,87,30-May,,
93,94042,3261,,1723,74.9,12.9,4518,0,88,2-Jun,,
602,OH02-12686,3262,R,1632,77.3,12.6,4292,0,91,1-Jun,,
521,NY03082-183,3263,,1739,74.8,12.7,4569,0,87,2-Jun,,
OH751,OH751,3264,R,1864,76.3,13.2,4873,0,92,30-May,,
437,KY97C-0321-02-01,3265,R,1852,74.5,12.9,4856,0,80,1-Jun,,
429,TWF507-001,3266,,1374,74.7,13,3599,0,82,3-Jun,95,
426,TW435-025,3267,,1445,73.3,12.7,3797,0,87,31-May,95,
527,NY03008-200,3268,,1474,74.2,12.5,3881,0,80,30-May,95,
458,W06-089,3269,R,1923,77.5,12.9,5042,0,92,30-May,,
756,NY07104-134,3270,,1515,75.5,12.8,3977,0,90,1-Jun,,
560,NY01018-276,3271,,1505,74.9,12.9,3946,0,70,31-May,95,
553,NY03010-252,3272,,1578,72.8,12.3,4163,0,76,1-Jun,,
445,MD00W53-07-1,3273,R,1749,78.2,13.1,4577,0,81,30-May,,
566,NY01018-303,3274,,1346,76.3,13.1,3522,0,76,1-Jun,95,
438,KY97C-0519-04-07,3275,R,1673,72.8,13.5,4360,0,76,1-Jun,,
