GID,Entry,Block,PLOT,Yield,Test WT,Moisture,KC 2016,SECTION,ROW,Planting.Order,Source,KC.2015,CC.2015,Awn.2015,Seg,wh,HD,Ht,leaf angle,Mildew,Lodging,Comments,percent awned,percent bronze chaff
MSU85,MI14W0167,5,2202,2929,81.2,12.76,W,10,19,371,NA,W,,,,,31,88,1,,,,,
1341,NY11030-5-12-1341,5,2203,2626,80.4,13.15,R,10,18,350,146,R,,,,,30,90,2,,,,,
1332,NY11020-1-45-1332,5,2204,2783,79.4,12.78,R,10,17,331,132,R,,,,,30,92,1,,,,100,
MSU23,MSU Line F2033,5,2205,2647,78.5,12.8,W,10,16,310,2382,W,W,A,,,29,95,0,,,,100,
35_check,Caledonia,5,2206,2929,80.6,12.74,W,10,15,291,checkPlots2015,W,W_BR/W,N,,,31,92,2,,,,,5
MSU79,MI14W0085,5,2207,2536,79.3,12.07,W,10,14,270,NA,W,,,,,31,90,1,,,,100,
MSU76,MI14R0067,5,2208,2818,83.3,12.78,R,10,13,251,NA,R,,,,,29,94,0,,,,,
OH70,OH13-174-16,5,2209,2429,80.2,12.56,R,10,12,230,2133,R,W,N,,,30,92,0,,,,,
MSU68,MI14W0014,5,2210,2824,77.1,12.74,W,10,11,211,NA,W,,,,,30,98,2,,,,,
928,NY09095-16-928,5,2211,2955,81.7,13.24,W,10,10,190,2254,W,BR,N,,,30,94,0,,,Small awn,100,100
625,MO 080104,5,2212,2886,81.5,13.17,R,10,9,171,2098,R,W,N,,,27,106,1,,,,,
1225,NY03053-1225,5,2213,2594,82.6,12.82,R,10,8,150,2240,R,BR,N,,,30,96,1,,,,,100
918,NY09091-83-918,5,2214,2650,81.4,12.95,W,10,7,131,2135,W,W,N,,,31,92,1,,,,,
1321,NY11014-9-83-1321,5,2215,2783,80.5,13.15,W,10,6,110,116,W,,,,,31,100,1,,,,,
1049,Envoy,5,2216,2431,81,12.77,W,10,5,91,2118,W,W,A/N,"B/G, A/N",,31,90,1,,,,100,
1336,NY11021-2-61-1336,5,2217,2821,77.2,12.94,R,10,4,70,136,R,,,,,30,84,1,,,,100,
1200,NY02003-1200,5,2218,2955,79.5,13.46,W,10,3,51,2290,W,W,N,,,28,86,1,,,,,
OH58,OH13-317-70,5,2219,2871,79.8,13.89,R,10,2,30,2316,R,W,N,,,30,96,0,,,,,
861,NY05158-861,5,2220,2634,82.1,13.5,W,10,1,11,2044,W,BR,N,,,30,86,1,,,Small awn,100,100
1361,NY11019-11-14-1361,6,2221,2411,79.3,13.58,R,11,1,10,168,R,,,,,29,84,2,,,,,
657,NY03143-657,6,2222,2572,80.2,13.61,W,11,2,31,3322,W,BR,,,,31,96,0,,,,,100
