Discard,Source,Entry,PLOT,PlotYldmoistcor,PlotYield,adj1,test MV10,adjustment,test MV8,adj,TW,Moisture,Lodging,HD,Sprout1,Sprout2,Sprout3,Sprout4,Sprout5,SproutMn,AdjPHS,,Harvest,Other
,119,94052,2170,1537,1606,4249,5249,4550,5052,4747,73,16.3,2,4,0,4,0,3,4,2.2,2.45,,13-Jul,bird damage
,219,96043,2171,1927,2011,5321,4804,6067,4587,6284,74.5,16.2,0,3,5,4,3,0,1,2.6,2.85,,13-Jul,
,370,99047,2172,2079,2170,5742,4252,7040,3841,7450,75.1,16.2,0,3,2,3,4,4,4,3.4,3.65,,13-Jul,
,Caledonia,Caledonia,2173,2102,2196,5811,4235,7126,4424,6937,72.2,16.3,0,2,3,1,1,0,0,1,1.25,,13-Jul,
,54,W105-156,2174,2032,2121,5612,4160,7002,4432,6730,76.4,16.2,0,3,5,4,3,3,3,3.6,3.85,,13-Jul,
D,26,Avon,2175,991,1025,2712,5007,3255,5027,3235,74.7,15.3,3,5,4,1,2,2,5,2.8,3.05,,13-Jul,bird damage
D,20,Honor,2176,325,333,881,5256,1175,5373,1057,71.9,14.4,4,4,4,2,5,3,5,3.8,4.05,,13-Jul,mouse
,86,W105-97,2177,1907,1989,5263,5109,5704,5003,5809,75.4,16.1,0,2,2,4,1,6,5,3.6,3.85,,13-Jul,
,306,96021,2178,1984,2069,5475,5191,5834,5044,5980,75.8,16.1,0,3,1,6,2,5,0,2.8,3.05,,13-Jul,
,66,94025,2179,2200,2309,6110,5213,6446,5089,6570,75.6,16.7,0,1,6,6,6,7,5,6,6.25,,13-Jul,
,254,99068,2180,2277,2367,6263,5188,6625,5444,6368,73.7,15.8,0,2,5,0,5,5,4,3.8,4.05,,13-Jul,
,207,94052,2181,2596,2707,7163,5227,7485,6085,6627,74,16.1,0,3,2,5,2,2,1,2.4,2.65,,13-Jul,
,216,99060,2182,2292,2400,6350,5592,6308,6222,5678,75,16.5,0,5,4,1,4,4,2,3,3.25,,13-Jul,
,61,W105-84,2183,2379,2496,6604,6045,6110,6213,5941,75.1,16.7,0,4,1,3,3,5,5,3.4,3.65,,13-Jul,
,276,NY103-72-7179,2184,2061,2158,5710,6235,5024,6346,4914,75.3,16.5,0,2,0,4,4,3,4,3,3.25,,13-Jul,
,187,96153,2185,2485,2610,6906,6141,6315,6129,6327,72.9,16.8,0,2,0,1,0,1,1,0.6,0.85,,13-Jul,
,302,96009,2186,1984,2097,5549,6205,4894,6078,5021,76.2,17.4,0,1,1,1,0,3,1,1.2,1.45,,13-Jul,
,212,96193,2187,2044,2138,5657,6175,5032,6030,5177,74,16.4,0,4,0,4,3,1,3,2.2,2.45,,13-Jul,
,Cal Res L,Cal Res L,2188,2261,2372,6276,5560,6266,5330,6496,73,16.7,0,29,0,0,4,0,4,1.6,1.85,,13-Jul,
D,57,SUPERIOR,2189,2066,2163,5723,5654,5619,5528,5745,74.3,16.5,1,4,0,4,1,0,4,1.8,2.05,,13-Jul,
,50,94052,2190,1948,2038,5393,5663,5279,5502,5440,74.9,16.4,1,31,2,1,4,5,4,3.2,3.45,,13-Jul,
,Richland,Richland,2191,2202,2296,6075,5595,6030,5437,6188,74.9,16.1,0,1,0,4,1,5,3,2.6,2.85,,13-Jul,
,399,NY03143,2192,599,616,1630,5669,1511,5685,1495,74,14.8,0,31,3,2,4,2,4,3,3.25,,13-Jul,bird damage
,218,99045,2193,2432,2547,6739,5191,7098,4997,7292,72.4,16.5,3,2,0,0,0,0,0,0,0.25,,13-Jul,
,46,94032,2194,2303,2407,6369,5186,6732,4983,6936,73.9,16.3,0,3,0,1,3,2,0,1.2,1.45,,13-Jul,
,156,96011,2195,2074,2158,5710,5104,6155,4991,6269,72.8,15.9,0,4,1,3,1,2,2,1.8,2.05,,13-Jul,
D,7,Grandprize,2196,1165,1207,3194,5313,3431,5207,3536,74.5,15.5,3,5,0,0,0,4,3,1.4,1.65,,13-Jul,
,191,94070,2197,2135,2224,5885,5105,6330,5418,6016,73,16,0,4,5,0,2,2,4,2.6,2.85,,13-Jul,
,355,99017,2198,1906,1979,5236,5193,5593,5445,5341,73.4,15.7,0,4,3,0,5,2,3,2.6,2.85,,13-Jul,
